CLAVE UR,SERIE,BN CARTA,BN OFICIO,BN DC,COLOR CARTA,COLOR OFICIO,ENVIAR,COPIAR
UR-N00,MXSCMCJ0GS,1026,0,0,0,0,384,21
UR-00D,MXSCMCJ0H7,0,0,0,0,0,0,0
UR-300,MXSCMCJ0JM,464,1,0,0,0,1075,13
UR-N00,MXSCMCJ0KF,3126,0,0,0,0,2558,752
UR-N00,MXSCMCJ0KM,254,35,0,0,0,612,23
UR-00D,MXSCN2R0WZ,0,0,0,0,0,0,0
UR-114,MXSCN2R0XW,101,19,0,0,0,2,56
UR-710,MXSCN2R0Y8,1311,0,0,0,0,387,298
UR-00D,MXSCN2R0YG,0,0,0,0,0,0,0
UR-611,MXSCN2R0YP,72,0,0,0,0,69,64
UR-712,MXSCN2R0YZ,2110,0,0,0,0,514,149
UR-00D,MXSCN2R102,0,0,0,0,0,0,0
UR-00D,MXSCN2R106,0,0,0,0,0,0,0
UR-00D,MXSCN2R113,0,0,0,0,0,0,0
UR-00D,MXSCN2R1CK,0,0,0,0,0,0,0
UR-00D,MXSCN2R1G0,0,0,0,0,0,0,0
UR-00D,MXSCN2R1TZ,0,0,0,0,0,0,0
UR-00D,MXSCN2R1VW,0,0,0,0,0,0,0
UR-00D,MXSCN2R1WH,0,0,0,0,0,0,0
UR-300,MXSCN2R1Y3,1136,0,0,0,0,15,217
UR-211,MXSCN2R1YJ,73,0,0,0,0,314,32
UR-00D,MXSCN2R1YM,0,0,0,0,0,0,0
UR-N00,MXSCN2R1ZZ,1749,42,0,0,0,3983,142
UR-173,MXSCN2R20P,492,0,0,0,0,515,108
UR-00D,MXSCN2R20Z,0,0,0,0,0,0,0
UR-00D,MXSCN2R2GP,0,0,0,0,0,0,0
UR-700,MXSCN2R2N2,192,0,0,0,0,1300,46
UR-00D,MXSCN2R2QT,0,0,0,0,0,0,0
UR-00D,MXSCN2R2TV,0,0,0,0,0,0,0
UR-00D,MXSCN2R2V3,0,0,0,0,0,0,0
UR-00D,MXSCN2R2VF,0,0,0,0,0,0,0
UR-00D,MXSCN2R2VL,0,0,0,0,0,0,0
UR-00D,MXSCN2R2WC,0,0,0,0,0,0,0
UR-00D,MXSCN2R2WN,0,0,0,0,0,0,0
UR-712,MXSCN2V0KN,6212,0,0,0,0,6125,445
UR-00D,MXSCN2V0LM,0,0,0,0,0,0,0
UR-00D,MXSCN2V0LX,0,0,0,0,0,0,0
UR-00D,MXSCN2V0MG,0,0,0,0,0,0,0
UR-00D,MXSCN2V0MP,0,0,0,0,0,0,0
UR-511,MXSCN2V0T2,1967,0,0,0,0,229,208
UR-K00,MXSCN2V0V9,4702,0,0,0,0,394,340
UR-00D,MXSCN2V0VJ,0,0,0,0,0,0,0
UR-712,MXSCN2V0VR,3826,0,0,0,0,1153,187
UR-712,MXSCN2V0VY,6996,24,0,0,0,458,5874
UR-611,MXSCN2V12F,378,0,0,0,0,77,52
UR-00D,MXSCN2V12R,0,0,0,0,0,0,0
UR-00D,MXSCN2V12X,0,0,0,0,0,0,0
UR-00D,MXSCN2V13D,0,0,0,0,0,0,0
UR-00D,MXSCN2V13H,0,0,0,0,0,0,0
UR-00D,MXSCN2V13Q,0,0,0,0,0,0,0
UR-00D,MXSCN2V1B4,0,0,0,0,0,0,0
UR-511,MXSCN2V1BV,1162,0,0,0,0,762,192
UR-210,MXSCN3B0X6,1880,5,0,0,0,123,119
UR-00D,MXSCN3B0YG,0,0,0,0,0,0,0
UR-200,MXSCN3B0ZQ,239,1,0,0,0,252,51
UR-00D,MXSCN3B126,0,0,0,0,0,0,0
UR-00D,MXSCN3B12B,0,0,0,0,0,0,0
UR-00D,MXSCN3B12J,0,0,0,0,0,0,0
UR-00D,MXSCN3B12X,0,0,0,0,0,0,0
UR-00D,MXSCN3B131,0,0,0,0,0,0,0
UR-00D,MXSCN3B136,0,0,0,0,0,0,0
UR-00D,MXSCN3B13H,0,0,0,0,0,0,0
UR-611,MXSCN3B13L,425,0,0,0,0,17,63
UR-712,MXSCN3B146,3623,5,0,0,0,1534,1087
UR-712,MXSCN3B15C,2821,0,0,0,0,1508,434
UR-00D,MXSCN3B160,0,0,0,0,0,0,0
UR-700,MXSCN3B163,862,0,0,0,0,160,71
UR-00D,MXSCN3J19J,0,0,0,0,0,0,0
UR-00D,MXSCN3J1BR,0,0,0,0,0,0,0
UR-312,MXSCN3J1CF,1280,64,0,0,0,4265,82
UR-00D,MXSCN3J1CT,0,0,0,0,0,0,0
UR-00D,MXSCN3J1DJ,0,0,0,0,0,0,0
UR-00D,MXSCN3J1FC,0,0,0,0,0,0,0
UR-00D,MXSCN411FM,0,0,0,0,0,0,0
UR-300,MXSCN411J8,2777,0,0,0,0,639,405
UR-00D,MXSCN411L3,0,0,0,0,0,0,0
UR-00D,MXSCN411L7,0,0,0,0,0,0,0
UR-00D,MXSCN411LX,0,0,0,0,0,0,0
UR-00D,MXSCN411M0,0,0,0,0,0,0,0
UR-00D,MXSCN411MG,0,0,0,0,0,0,0
UR-N00,MXSCN411MH,237,0,0,0,0,2797,103
UR-613,MXSCN411MN,1025,13,0,0,0,200,236
UR-00D,MXSCN411MR,0,0,0,0,0,0,0
UR-00D,MXSCND21GY,0,0,0,0,0,0,0
UR-00D,MXSCP5D1SC,0,0,0,0,0,0,0
UR-00D,MXSCP5D1XQ,0,0,0,0,0,0,0
UR-00D,PHBTT05982,0,0,0,0,0,0,0
UR-00D,PHBTT05985,0,0,0,0,0,0,0
UR-114,PHBTT05987,2,0,0,0,0,0,0
UR-00D,PHBTT05992,0,0,0,0,0,0,0
UR-00D,PHBTT05996,0,0,0,0,0,0,0
UR-00D,PHBTT05997,0,0,0,0,0,0,0
UR-00D,PHBTT05998,0,0,0,0,0,0,0
UR-00D,PHBTT05999,0,0,0,0,0,0,0
UR-00D,PHBTT06000,0,0,0,0,0,0,0
UR-00D,PHBTT06001,0,0,0,0,0,0,0
UR-114,PHBTT06002,2,0,0,0,0,0,0
UR-313,PHBTT06003,155,0,0,0,0,0,0
UR-00D,PHBTT06004,0,0,0,0,0,0,0
UR-00D,PHBTT06008,0,0,0,0,0,0,0
UR-00D,PHBTT06019,0,0,0,0,0,0,0
UR-00D,PHBTT06027,0,0,0,0,0,0,0
UR-00D,PHBTT06032,0,0,0,0,0,0,0
UR-00D,PHBTT06033,0,0,0,0,0,0,0
UR-00D,PHBTT06034,0,0,0,0,0,0,0
